#CNS-FILE
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# common/event_modifiers/CNS_guardian_modifiers.txt
cns_hafiz;[From.GetGuardianTrait];;;;;;;;;;;;;x
cns_guardian_bible;[From.GetGuardianTrait];;;;;;;;;;;;;x
cns_guardian_torah;[From.GetGuardianTrait];;;;;;;;;;;;;x
cns_guardian_generic;[From.GetGuardianTrait];;;;;;;;;;;;;x
# common/game_rules/DRD_game_rules.txt
RULE_GROUP_CNS;Church and State;Église et État;;;;;;;;;;;;x
EVTDESCCNS12;[FromFrom.GetTitledFirstName] ruled the [From.GetFullName] in the spirit of religious pluralism. Many call for me to continue [FromFrom.GetHerHis] tolerant ways, but I am not so sure.;[FromFrom.GetTitledFirstName] a dirigé [From.Get_du_RealmFull] dans un esprit de pluralisme religieux. Nombreux sont ceux à me demander de maintenir son attitude tolérante.;;;;;;;;;;;;x
EVTOPTACNS12_already_cosmopolitan;I will preserve the traditions of [From.GetName].;Je préserverai les traditions [From.Get_du_Realm].;;;;;;;;;;;;x
EVTOPTACNS12_secretly_cosmopolitan;I can finally profess my [Root.Religion.GetName] faith.;Je peux enfin professer ma foi [Root.Religion.GetName].;;;;;;;;;;;;x
EVTOPTACNS12_convert_to_cosmopolitan;[metonym.GetName] is well worth [EVTOPTACNS12Ceremony]...;[metonym.GetName] vaut bien [EVTOPTACNS12Ceremony]...;;;;;;;;;;;;x
EVTOPTBCNS12;No. [From.GetAdjective] pluralism ended with my [FromFrom.GetRootRelation]'s reign.;Non. Le pluralisme [From.GetAdjective] a pris fin en même temps que le règne de m[FromFrom.GetOnA] [FromFrom.GetRootRelation].;;;;;;;;;;;;x
# localisation/customizable_localisation/CNS_customizable_localisation.txt
guardian_hafiz;Hafiz;Hafiz;Hafiz;;Hafiz;;;;;;;;;x
guardian_scripture;Guardian of [This.Religion.GetScriptureName];Gardie[This.GetNNne] [This.Get_du_Scripture];;;;;;;;;;;;x
guardian_desc_vanilla;This character has completely memorized the Qur'an.;Ce personnage connaît le Coran par coeur.;Dieser Charakter hat den Koran vollständig auswendig gelernt.;;Este personaje ha memorizado completamente el Corán;;;;;;;;;x
guardian_desc_hafiz;This character has completely memorized the Qur'an.\nMonthly [This.Religion.GetPietyName]: §G+0.5§!\nLearning: §G+2§!\nSame Faith Opinion: §G+5§!;Ce personnage connaît le Coran par coeur.\n[This.Religion.GetPietyName] par mois: §G+0.5§!\nÉrudition: §G+2§!\nOpinion de la part des coreligionnaires: §G+5§!;Dieser Charakter hat den Koran vollständig auswendig gelernt.\nMonthly [This.Religion.GetPietyName]: §G+0.5§!\nLearning: §G+2§!\nSame Faith Opinion: §G+5§!;;Este personaje ha memorizado completamente el Corán.\nMonthly [This.Religion.GetPietyName]: §G+0.5§!\nLearning: §G+2§!\nSame Faith Opinion: §G+5§!;;;;;;;;;x
guardian_desc_bible;This character has memorized large portions of the Holy Bible.\nLearning: §G+2§!\nSame Faith Opinion: §G+5§!\n[christian.GetGroupName] Opinion: §G+5§!;Ce personnage connaît par coeur une grande partie de la Sainte Bible.\nÉrudition: §G+2§!\nOpinion de la part des coreligionnaires: §G+5§!\nOpinion [christian.GetGroupName]: §G+5§!;;;;;;;;;;;;x
guardian_desc_torah;This character has memorized large portions of the Tanakh.\nLearning: §G+2§!\nSame Faith Opinion: §G+5§!\n[jewish_group.GetGroupName] Opinion: §G+5§!;Ce personnage connaît par coeur une grande partie du Tanakh.\nÉrudition: §G+2§!\nOpinion de la part des coreligionnaires: §G+5§!\nOpinion [jewish_group.GetGroupName]: §G+5§!;;;;;;;;;;;;x
guardian_desc_generic_muslim;This character has memorized large portions of [This.Religion.GetScriptureName].\nMonthly [This.Religion.GetPietyName]: §G+0.5§!\nLearning: §G+2§!\nSame Faith Opinion: §G+5§!;Ce personnage connaît par coeur une grande partie [This.Get_du_Scripture].\n[This.Religion.GetPietyName] par mois: §G+0.5§!\nÉrudition: §G+2§!\nOpinion de la part des coreligionnaires: §G+5§!;;;;;;;;;;;;x
guardian_desc_generic_legends;This character has memorized large portions of the [This.Religion.GetName] legendary history.\nLearning: §G+2§!\nSame Faith Opinion: §G+10§!;Ce personnage connaît par coeur une grande partie de la légende historique [This.Religion.GetName].\nÉrudition: §G+2§!\nOpinion de la part des coreligionnaires: §G+10§!;;;;;;;;;;;;x
guardian_desc_generic;This character has memorized large portions of [This.Religion.GetScriptureName].\nLearning: §G+2§!\nSame Faith Opinion: §G+10§!;Ce personnage connaît par coeur une grande partie [This.Get_du_Scripture].\nÉrudition: §G+2§!\nOpinion de la part des coreligionnaires: §G+10§!;;;;;;;;;;;;x
title_councilmember_clergyless_delegate;Delegate;Représentant;;;;;;;;;;;;x
title_councilmember_clergyless_delegate_other_group;[This.Religion.GetGroupName] Delegate;Représentant[This.Get_E] [This.GetReligiousGroupMascFem];;;;;;;;;;;;x
title_councilmember_clergyless_delegate_same_group;[This.Religion.GetName] Delegate;Représentant[This.Get_E] [This.GetReligionMascFem];;;;;;;;;;;;x
title_councilmember_clergyless_peacemaker;Peacemaker;Pacificateur;;;;;;;;;;;;x
title_councilmember_clergyless_propagandist;Propagandist;Propagandiste;;;;;;;;;;;;x
title_councilmember_clergyless_censor;Censor;Censeur;;;;;;;;;;;;x
title_councilmember_clergyless_fallback;Non-Clerical Advisor;Conseiller non-clérical;;;;;;;;;;;;x
title_councilmember_clergyless_delegate_desc;This advisor represents the interests of their religious community as a member of the realm's council.;Ce conseiller représente les intérêts de sa communité religieuse au sein du conseil.;;;;;;;;;;;;x
title_councilmember_clergyless_peacemaker_desc;The Peacemaker is a respected member of the realm's council, a spiritual advisor responsible for maintaining harmonious relations among vassals and subjects.;Le pacificateur est un conseiller spirituel respecté auprès des vassaux et des sujets, dont la responsabilité est d'assurer l'harmonie au sein de leurs relations.;;;;;;;;;;;;x
title_councilmember_clergyless_propagandist_desc;The Propagandist is a respected member of the realm's council and is responsible for inspiring loyalty among vassals through religious zeal.;Le propagandiste est un membre respecté du Conseil dont la responsabilité est d'attiser la ferveur religieuse des vassaux afin d'assurer leur loyauté.;;;;;;;;;;;;x
title_councilmember_clergyless_censor_desc;The Censor is a respected member of the realm's council and is responsible for upholding religious values and responsibilities among vassals.;Le censeur est un membre respecté du Conseil dont la responsabilité est d'astreindre les vassaux aux valeurs et responsabilités que leur dicte la religion.;;;;;;;;;;;;x
title_councilmember_clergyless_fallback_desc;;;;;;;;;;;;;;x
EVTOPTACNS12_ceremony_mass;a mass;une messe;;;;;;;;;;;;x
EVTOPTACNS12_ceremony_default;a [pluralist_religion.GetName] ceremony;une cérémonie [pluralist_religion.GetName];;;;;;;;;;;;x
static_clergyless_religions_none_random_features;§Rnone§!, religion features have been randomized;§Raucune§!, les caractéristiques des religions sont aléatoires;;;;;;;;;;;;x
static_clergyless_religions_list;[lollard.GetName], [waldensian.GetName], [paulician.GetName], [jewish.GetName], [karaite.GetName];;;;;;;;;;;;;x
# Overrides
temple_baron_jewish_group;Kohen;Cohen;Kohen;;Kohen;;;;;;;;;x
temple_baron_jewish;Kohen;Cohen;Kohen;;Kohen;;;;;;;;;x
temple_baron_karaite;Kohen;Cohen;Kohen;;Kohen;;;;;;;;;x
temple_baron_samaritan;Kohen;Cohen;Kohen;;Kohen;;;;;;;;;x
temple_count_jewish_group;Rabban;Rabbi;Rabban;;Rabban;;;;;;;;;x
temple_duke_jewish_group;Nasi;Nassi;Nasi;;Nasi;;;;;;;;;x
hafiz;[From.GetGuardianTrait];;;;;;;;;;;;;x
hafiz_desc;[This.GetGuardianTraitDesc];;;;;;;;;;;;;x
COMPL_HAFIZ;[This.GetGuardianTrait];;;;;;;;;;;;;x
